Final Ranking,Final Score,Show Order,Country,Artist,Song Title,Video ID,Year
23,14,1,France,Amandine Bourgeois,L'enfer Et Moi,hQwiQj5Dyj8,2013
24,13,4,Finland,Krista Siegfrids,Marry Me,dlBXOveVh7c,2013
25,8,5,Spain,ESDM,Contigo Hasta El Final (With You Until The End),Q5m8aCZSvws,2013
26,5,26,Ireland,Ryan Dolan,Only Love Survives,4tgtyl_5x5Y,2013
1,372,17,Sweden,Loreen,Euphoria,Pfo-8z86x80,2012
2,259,6,Russia,Buranovskiye Babushki,Party For Everybody,BgUstrmJzyc,2012
3,214,24,Serbia,Željko Joksimović,Nije Ljubav Stvar,R9x9VbJzaDQ,2012
4,150,13,Azerbaijan,Sabina Babayeva,When The Music Dies,yzT7O3Fnwpk,2012
5,146,3,Albania,Rona Nishliu,Suus,QeBL2UHhyEc,2012
6,120,11,Estonia,Ott Lepland,Kuula,T7BaTBe0UD8,2012
7,112,18,Turkey,Can Bonomo,Love Me Back,3Qa7_y21oOY,2012
8,110,20,Germany,Roman Lob,Standing Still,cScJPH20P3A,2012
9,101,10,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),v0kGpDEvtbQ,2012
10,97,19,Spain,Pastora Soler,Quédate Conmigo (Stay With Me),U8J1b62wOao,2012
11,81,26,Moldova,Pasha Parfeny,Lăutar,vIy0EtEeLEw,2012
12,71,14,Romania,Mandinga,Zaleilah,K3ruy639kTQ,2012
13,71,22,FYR Macedonia,Kaliopi,Crno I Belo,MSuCdNEy9w0,2012
14,70,4,Lithuania,Donny Montell,Love Is Blind,x2vNoZnJxgY,2012
15,65,25,Ukraine,Gaitana,Be My Guest,sLsTn_li5d8,2012
16,65,8,Cyprus,Ivi Adamou,La La Love,zRqmHRbJvTo,2012
17,64,16,Greece,Eleftheria Eleftheriou,Aphrodisiac,NreIi8ma_PY,2012
18,55,5,Bosnia & Herzegovina,Maya Sar,Korake ti znam,81hIbZNoFU8,2012
19,46,23,Ireland,Jedward,Waterline,e1cuimKLNpU,2012
20,46,7,Iceland,Greta Salóme & Jónsi,Never Forget,zRqmHRbJvTo,2012
21,41,21,Malta,Kurt Calleja,This Is The Night,lUnEZp-qHxs,2012
22,21,9,France,Anggun,Echo (You And I),0DZ7DbdeOeE,2012
23,21,15,Denmark,Soluna Samay,Should've Known Better,U5X2r_t-KBk,2012
24,19,2,Hungary,Compact Disco,Sound Of Our Hearts,sw85G2AlU2c,2012
25,12,1,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,rXw4Q5jbNqQ,2012
26,7,12,Norway,Tooji,Stay,-ZaxIY1VAbM,2012
1,221,19,Azerbaijan,Ell & Nikki,Running Scared,iq2yLykdjvA,2011
2,189,12,Italy,Raphael Gualazzi,Madness Of Love,TE0uNLp3LuU,2011
3,185,7,Sweden,Eric Saade,Popular,-04pUETT7oI,2011
4,159,23,Ukraine,Mika Newton,Angel,g_xRmEkR6KE,2011
5,134,3,Denmark,A Friend In London,New Tomorrow,YDXeK0r3aKs,2011
6,125,2,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,mBg3coarF_8,2011
7,120,9,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,FdZzklXoAOg,2011
8,119,6,Ireland,Jedward,Lipstick,XgrlG6hQbNM,2011
9,110,25,Georgia,Eldrine,One More Day,CfJVlssy0cc,2011
10,107,16,Germany,Lena,Taken By A Stranger,KqZprvpWlcE,2011
11,100,14,United Kingdom,Blue,I Can,y1dXMWWq6y8,2011
12,97,15,Moldova,Zdob și Zdub,So Lucky,nHAY_OVN_gY,2011
13,96,20,Slovenia,Maja Keuc,No One,NNP3nfvoqps,2011
14,85,24,Serbia,Nina,Čaroban,-CWvXKxjCs8,2011
15,82,11,France,Amaury Vassili,Sognu,OTiBNPT-x_Y,2011
16,77,10,Russia,Alexej Vorobjov,Get You,C-3ohaRN3MM,2011
17,77,17,Romania,Hotel FM,Change,2a1Q_hpGLbs,2011
18,64,18,Austria,Nadine Beiler,The Secret Is Love,UsBC5AB1tFo,2011
19,63,4,Lithuania,Evelina Sašenko,C'est Ma Vie,S3_aSVE4t3M,2011
20,61,21,Iceland,Sjonni's Friends,Coming Home,apc_qJf3nws,2011
21,57,1,Finland,Paradise Oskar,Da Da Dam,1Fj9of4IzFU,2011
22,53,5,Hungary,Kati Wolf,What About My Dreams?,IuGUz1ExflY,2011
23,50,22,Spain,Lucía Pérez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,91bKjEojSDU,2011
24,44,8,Estonia,Getter Jaani,Rockefeller Street,UxvmdR7oYdQ,2011
25,19,13,Switzerland,Anna Rossinelli,In Love For A While,wxLE5FmNJow,2011
1,246,22,Germany,Lena,Satellite,-qnsZgQe1tU,2010
2,170,14,Turkey,maNga,We Could Be The Same,524Yy7JWBd4,2010
3,162,19,Romania,Paula Seling & Ovi,Playing With Fire,6OlG9g4-cyg,2010
4,149,25,Denmark,Chanée & N'evergreen,In A Moment Like This,nNhIVQ1KBb8,2010
5,145,1,Azerbaijan,Safura,Drip Drop,7zWO-V0dmHg,2010
6,143,7,Belgium,Tom Dice,Me And My Guitar,Nk1UAXlfBUA,2010
7,141,21,Armenia,Eva Rivas,Apricot Stone,hgz5TZugISw,2010
8,140,11,Greece,Giorgos Alkaios & Friends,OPA,J50RL1rDisA,2010
9,136,13,Georgia,Sofia Nizharadze,Shine,2-1yBx6IQN0,2010
10,108,17,Ukraine,Alyosha,Sweet People,NQ2mAuqnXZk,2010
11,90,20,Russia,Peter Nalitch & Friends,Lost And Forgotten,IOB7uaWuRyc,2010
12,82,18,France,Jessy Matador,Alllez Olla Olé,anVLKrv28hs,2010
13,72,8,Serbia,Milan Stanković,Ovo Je Balkan,TBwWB3kKd6o,2010
14,71,24,Israel,Harel Skaat,Milim,OG7fBifcRLk,2010
15,68,2,Spain,Daniel Diges,Algo Pequeñito,_Unb161ZI-s,2010
16,62,15,Albania,Juliana Pasha,It's All About You,3ZLlQE8ICno,2010
17,51,6,Bosnia & Herzegovina,Vukašin Brajić,Thunder And Lightning,wgPtHtmSFec,2010
18,43,23,Portugal,Filipa Azevedo,Há Dias Assim,_mTaVdnTMwo,2010
19,41,16,Iceland,Hera Björk,Je Ne Sais Quoi,8vM7XAM6fzo,2010
20,35,3,Norway,Didrik Solli-Tangen,My Heart Is Yours,h3KlbuVZGJw,2010
21,27,5,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,KVsue-XPY0s,2010
22,27,4,Moldova,Sunstroke Project & Olia Tira,Run Away,C-VMHOlCyW8,2010
23,25,10,Ireland,Niamh Kavanagh,It's For You,HZnrupI_Mms,2010
24,18,9,Belarus,3+2,Butterflies,5e0FQkgnm4Q,2010
25,10,12,United Kingdom,Josh,That Sounds Good To Me,fR7l2xC4cOY,2010
